hero_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
11,0.472483221,0.435672515,0.521226415,0.481375358,0.546994073,0.520123839,0.513460597,0.526315789,0.553339115,0.424242424,0.516565645,0.450757576,0.384057971,0.505798394,0.487437186,0.513711152,0.4,0.518446602,0.462214411,0.533159948,0.460813492,0.565982405,0.463576159,0.5,0.418660287,0.490055688,0.559782609,0.56891635,0.508313539,0.547909408,0.557457213,0.552805281,0.497816594,0.484536082,0.439306358,0.583333333,0.555984556,0.563218391,0.428125,0.520642202,0.489461358,0.620614035,0.507246377,0.488372093,0.484581498,0.423076923,0.555555556,0.55,0.527472527,0.552878179,0.539973788,0.394160584,0.391812865,0.483516484,0.500601685,0.49137931,0.588661037,0.489655172,0.523232323,0.521929825,0.439130435,0.49620893,0.466463415,0.521640091,0.462025316,0.452631579,0.589147287,0.522767075,0.536973048,0.58172232,0.580521472,0.513119534,0.479262673,0.474964235,0.528318584,0.434343434,0.489655172,0.495049505,0.396761134,0.463768116,0.526153846,0.468926554,0.517857143,0.526928675,0.578892372,0.473794549,0.522565321,0.479069767,0.475862069,0.501529052,0.552631579,0.552631579,0.500702247,0.565972222,0.540669856,0.588850174,0.443946188,0.460176991,0.509243697,0.515384615,0.485776805,0.597302505,0.536231884,0.527800161,0.442622951,0.462857143,0.561165049,0.5,0.497695853,0.563352827,0.5,0.528885832,0.5
12,0.4,0.348571429,0.537634409,0.414285714,0.480836237,0.386363636,0.433085502,0.489130435,0.473913043,0.392857143,0.450757576,0.447094298,0.245901639,0.466876972,0.488888889,0.339622642,0.350649351,0.410714286,0.444444444,0.5,0.427170868,0.547297297,0.409090909,0.5,0.363636364,0.375886525,0.492537313,0.508833922,0.513513514,0.423357664,0.54787234,0.513043478,0.410958904,0.367816092,0.428571429,0.550239234,0.5,0.540540541,0.389204545,0.571428571,0.295454545,0.5,0.576271186,0.44,0.433962264,0.45410628,0.495934959,0.457142857,0.384615385,0.511976048,0.423611111,0.377777778,0.4,0.338983051,0.476190476,0.418181818,0.575163399,0.285714286,0.431578947,0.336842105,0.294117647,0.450643777,0.40625,0.475247525,0.380952381,0.4375,0.512820513,0.46473029,0.518796992,0.488095238,0.466942149,0.378787879,0.5,0.435955056,0.461538462,0.453125,0.47826087,0.413793103,0.3,0.571428571,0.357142857,0.405405405,0.483870968,0.518292683,0.481481481,0.372693727,0.414364641,0.393258427,0.045454545,0.483221477,0.307692308,0.321428571,0.504587156,0.53125,0.315789474,0.421052632,0.336956522,0.366666667,0.459459459,0.463258786,0.464285714,0.47706422,0.416666667,0.426666667,0.457142857,0.372781065,0.535714286,0.5,0.321428571,0.406504065,0.384615385,0.482638889,0.5
13,0.412121212,0.367816092,0.463414634,0.375,0.47107438,0.454545455,0.39673913,0.396103896,0.469026549,0.45,0.384057971,0.245901639,0.421590909,0.427480916,0.5,0.363636364,0.392857143,0.46969697,0.346153846,0.386363636,0.443548387,0.483870968,0.395833333,0.5,0.352272727,0.401709402,0.561403509,0.475177305,0.46875,0.420634921,0.403225806,0.476923077,0.396551724,0.304347826,0.419354839,0.441176471,0.35,0.409090909,0.426229508,0.431372549,0.37704918,0.533333333,0.555555556,0.446153846,0.346153846,0.392857143,0.432432432,0.377777778,0.37037037,0.389380531,0.523809524,0.294117647,0.444444444,0.444444444,0.327586207,0.307692308,0.494252874,0.3125,0.255319149,0.428571429,0.571428571,0.4,0.341463415,0.5,0.4,0.4,0.524590164,0.287234043,0.369747899,0.511627907,0.495575221,0.457943925,0.487394958,0.393939394,0.3625,0.315789474,0.529411765,0.307692308,0.307692308,0.555555556,0.375,0.178571429,0.433333333,0.432432432,0.423913043,0.386363636,0.47826087,0.378378378,0.5,0.258064516,0.5,0.5,0.385185185,0.575,0.476190476,0.37037037,0.411764706,0.368421053,0.402985075,0.384057971,0.318181818,0.547619048,0.2,0.420289855,0.5,0.388888889,0.5,0.5,0.68,0.465116279,0.52173913,0.516949153,0.5
14,0.477043673,0.423208191,0.461904762,0.493150685,0.568,0.437229437,0.521456437,0.498409332,0.488335925,0.419117647,0.505798394,0.466876972,0.427480916,0.492636932,0.440944882,0.467592593,0.428571429,0.512544803,0.4160401,0.522648084,0.475458309,0.532307692,0.417391304,0.5,0.415986949,0.44856661,0.512195122,0.516083916,0.520833333,0.50262697,0.581481481,0.558823529,0.476744186,0.435897436,0.440318302,0.577067669,0.561151079,0.454545455,0.477372263,0.550660793,0.459940653,0.543230016,0.45,0.463320463,0.479452055,0.498789346,0.494845361,0.557142857,0.440251572,0.521988528,0.494809689,0.47826087,0.425170068,0.460966543,0.494736842,0.45021645,0.616252822,0.426829268,0.474164134,0.560209424,0.425925926,0.450226244,0.539170507,0.458128079,0.534246575,0.407407407,0.582887701,0.487012987,0.511764706,0.555263158,0.542443064,0.478559177,0.51338766,0.47,0.547237077,0.46031746,0.528571429,0.47761194,0.384615385,0.369863014,0.469767442,0.464566929,0.477272727,0.506802721,0.510638298,0.492091388,0.562146893,0.452631579,0.426829268,0.505208333,0.423076923,0.367647059,0.476383266,0.525821596,0.464285714,0.510638298,0.459330144,0.471794872,0.473015873,0.454281567,0.432432432,0.587234043,0.492063492,0.464037123,0.445859873,0.4296875,0.49197861,0.5,0.528301887,0.507692308,0.488095238,0.540918164,0.5
15,0.448275862,0.438202247,0.430555556,0.426229508,0.535483871,0.563636364,0.487922705,0.533333333,0.540540541,0.363636364,0.487437186,0.488888889,0.5,0.440944882,0.474937965,0.393939394,0.40625,0.534883721,0.515625,0.544117647,0.479310345,0.5,0.352941176,0.5,0.372727273,0.483870968,0.506329114,0.517241379,0.465116279,0.5,0.520547945,0.541666667,0.456140351,0.413793103,0.371428571,0.585858586,0.564102564,0.52,0.471014493,0.517241379,0.392156863,0.582677165,0.25,0.467889908,0.466666667,0.342465753,0.509090909,0.414634146,0.458333333,0.565217391,0.486486486,0.6,0.301369863,0.4375,0.425,0.487179487,0.535087719,0.055555556,0.518518519,0.431034483,0.454545455,0.396946565,0.421052632,0.555555556,0.3125,0.3,0.538461538,0.453125,0.509615385,0.516129032,0.512396694,0.416666667,0.489208633,0.457142857,0.505154639,0.346153846,0.857142857,0.333333333,0.5,0.25,0.510204082,0.222222222,0.468085106,0.49,0.547619048,0.463855422,0.52173913,0.54,0.333333333,0.513513514,0.517241379,0.259259259,0.453703704,0.375,0.375,0.515151515,0.358974359,0.425925926,0.352112676,0.451612903,0.195652174,0.485714286,0.8,0.48,0.238095238,0.522727273,0.5625,0.5,0.434782609,0.487179487,0.380952381,0.462121212,0.5
16,0.44648318,0.375,0.421052632,0.297297297,0.517241379,0.455696203,0.47029703,0.488372093,0.553191489,0.454545455,0.513711152,0.339622642,0.363636364,0.467592593,0.393939394,0.472530962,0.373333333,0.430379747,0.492753623,0.4625,0.442834138,0.53968254,0.442622951,0.5,0.376569038,0.393333333,0.591549296,0.524193548,0.508196721,0.420382166,0.463157895,0.550458716,0.5,0.458333333,0.408,0.55704698,0.529411765,0.5,0.420875421,0.472222222,0.484536082,0.572916667,0.563636364,0.383673469,0.5,0.47029703,0.520833333,0.428571429,0.410714286,0.518072289,0.444444444,0.441860465,0.320754717,0.386363636,0.47761194,0.506666667,0.627272727,0.379310345,0.489795918,0.5,0.342105263,0.523364486,0.565789474,0.38028169,0.384615385,0.25,0.570707071,0.534591195,0.45,0.608695652,0.463414634,0.484536082,0.47826087,0.488826816,0.546511628,0.483333333,0.611111111,0.52,0.409090909,0.375,0.475409836,0.651162791,0.512820513,0.423076923,0.58,0.405405405,0.510638298,0.515625,0.484848485,0.470588235,0.5,0.421052632,0.450704225,0.522727273,0.472727273,0.5,0.46,0.485148515,0.41509434,0.465437788,0.320512821,0.530864198,0.428571429,0.497409326,0.470588235,0.392344498,0.453125,0.5,0.487179487,0.464788732,0.363636364,0.467948718,0.5
17,0.357446809,0.342105263,0.34,0.328767123,0.52020202,0.461538462,0.390804598,0.39,0.446540881,0.393939394,0.4,0.350649351,0.392857143,0.428571429,0.40625,0.373333333,0.415800416,0.585365854,0.34375,0.402173913,0.419047619,0.546875,0.369565217,0.5,0.317829457,0.377358491,0.493333333,0.502222222,0.393442623,0.433962264,0.520408163,0.513513514,0.305084746,0.3125,0.294117647,0.492537313,0.568181818,0.391304348,0.348484848,0.342857143,0.407894737,0.47761194,0.5,0.348958333,0.466666667,0.418604651,0.355555556,0.377777778,0.363636364,0.472392638,0.446808511,0.55,0.277108434,0.35443038,0.493150685,0.379310345,0.464,0.380952381,0.386666667,0.339285714,0.367346939,0.492957746,0.359375,0.459016393,0.315789474,0.47826087,0.492957746,0.484375,0.384180791,0.544715447,0.453416149,0.401785714,0.387096774,0.459459459,0.434065934,0.125,0.321428571,0.363636364,0.275862069,0.421052632,0.483333333,0.363636364,0.242424242,0.476190476,0.539130435,0.310344828,0.393939394,0.416666667,0.15,0.466666667,0.162790698,0.3,0.449438202,0.516129032,0.469387755,0.428571429,0.395348837,0.410958904,0.413461538,0.414634146,0.406779661,0.417721519,0.5,0.381742739,0.361111111,0.285714286,0.409836066,0.5,0.379310345,0.392156863,0.357142857,0.370629371,0.5
18,0.362068966,0.442477876,0.375,0.465116279,0.574468085,0.548387097,0.517142857,0.496240602,0.578947368,0.482758621,0.518446602,0.410714286,0.46969697,0.512544803,0.534883721,0.430379747,0.585365854,0.508990719,0.509615385,0.574850299,0.490066225,0.4875,0.433333333,0.5,0.416083916,0.478764479,0.5,0.6,0.604651163,0.565217391,0.622641509,0.612612613,0.471698113,0.5,0.411290323,0.56937799,0.552631579,0.529411765,0.449541284,0.508928571,0.444444444,0.604395604,0.672131148,0.405940594,0.418181818,0.5,0.551181102,0.588235294,0.510638298,0.524904215,0.523809524,0.489795918,0.311926606,0.442307692,0.554913295,0.492753623,0.644549763,0.351351351,0.535714286,0.541666667,0.384615385,0.497512438,0.446153846,0.495145631,0.3,0.45,0.625,0.538812785,0.587064677,0.569767442,0.542682927,0.405940594,0.5,0.472,0.537190083,0.565217391,0.466666667,0.516129032,0.411764706,0.428571429,0.515151515,0.404761905,0.476190476,0.492957746,0.637837838,0.438679245,0.479532164,0.417721519,0.423076923,0.523255814,0.544303797,0.333333333,0.514705882,0.684210526,0.531914894,0.434782609,0.478873239,0.436170213,0.466019417,0.515254237,0.336956522,0.540229885,0.555555556,0.546391753,0.476190476,0.512048193,0.493506494,0.5,0.448275862,0.537634409,0.517241379,0.481481481,0.5
19,0.405228758,0.447674419,0.462121212,0.478571429,0.589498807,0.44,0.504761905,0.52892562,0.466666667,0.384615385,0.462214411,0.444444444,0.346153846,0.4160401,0.515625,0.492753623,0.34375,0.509615385,0.478867925,0.567010309,0.457233369,0.53968254,0.365591398,0.5,0.408571429,0.480211082,0.494117647,0.549773756,0.417721519,0.512676056,0.509259259,0.53271028,0.46031746,0.377777778,0.463414634,0.491039427,0.551282051,0.596491228,0.395522388,0.475524476,0.347368421,0.548780488,0.579710145,0.471830986,0.492957746,0.446078431,0.552447552,0.548780488,0.383561644,0.537396122,0.534759358,0.294117647,0.404494382,0.5,0.46875,0.3,0.588461538,0.377358491,0.414473684,0.514018692,0.458333333,0.484939759,0.495412844,0.430555556,0.538461538,0.619047619,0.565420561,0.477744807,0.527607362,0.584795322,0.476821192,0.471111111,0.505555556,0.446952596,0.522546419,0.292307692,0.577777778,0.407407407,0.296875,0.361111111,0.573333333,0.394366197,0.421052632,0.492146597,0.515151515,0.385365854,0.470046083,0.542635659,0.390243902,0.430555556,0.43575419,0.531914894,0.501831502,0.604395604,0.48,0.451327434,0.425531915,0.442748092,0.429577465,0.480349345,0.5,0.602564103,0.45,0.463888889,0.488372093,0.442446043,0.450980392,0.5,0.564516129,0.503649635,0.391304348,0.520833333,0.5
20,0.512605042,0.435064935,0.473684211,0.551020408,0.544871795,0.539823009,0.550955414,0.543814433,0.502590674,0.523076923,0.533159948,0.5,0.386363636,0.522648084,0.544117647,0.4625,0.402173913,0.574850299,0.567010309,0.531600286,0.516687268,0.434782609,0.43373494,0.5,0.465909091,0.507575758,0.569230769,0.578431373,0.540229885,0.509933775,0.608,0.617449664,0.569230769,0.505494505,0.513513514,0.664739884,0.666666667,0.571428571,0.46875,0.583333333,0.431034483,0.62006079,0.630769231,0.484210526,0.552631579,0.53968254,0.537414966,0.528169014,0.579545455,0.578947368,0.508571429,0.461538462,0.443548387,0.489130435,0.544117647,0.489583333,0.64028777,0.32,0.536082474,0.549618321,0.5,0.52020202,0.472727273,0.603174603,0.425,0.375,0.629310345,0.508982036,0.522875817,0.5,0.542372881,0.580392157,0.557692308,0.556074766,0.532019704,0.492063492,0.388888889,0.666666667,0.523809524,0.564102564,0.549019608,0.389830508,0.633333333,0.518518519,0.623595506,0.481927711,0.666666667,0.541176471,0.59375,0.527272727,0.489795918,0.619047619,0.494475138,0.659090909,0.506666667,0.550724638,0.55,0.452991453,0.523489933,0.511904762,0.44,0.446601942,0.545454545,0.504702194,0.566666667,0.507352941,0.481481481,0.5,0.564516129,0.606382979,0.545454545,0.585987261,0.5
